Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,BHR,"Population ages 65 and above, total",SP.POP.65UP.TO,4378,4537,4703,4876,5058,5251,5450,5657,5887,6116,6298,6439,6581,6739,6900,7059,7217,7365,7490,7581,7675,7870,8180,8523,8873,9240,9608,9944,10253,10565,10890,10629,11012,11511,12064,12611,13088,13460,13736,14024,14345,14697,15509,16492,17701,19059,20473,21984,23238,24844,26420,26711,27840,30774,34512,35474,36127,39209,41672,44579,48272,52114,53348,57373
"Bahamas, The",BHS,"Population ages 65 and above, total",SP.POP.65UP.TO,4327,4448,4588,4750,4936,5145,5379,5630,5895,6171,6421,6642,6870,7130,7425,7764,8141,8547,8981,9436,9898,10367,10848,11328,11796,12249,12687,13125,13571,14038,14541,15082,15665,16290,16951,17645,18374,19139,19940,20783,21676,22630,23647,24737,25900,27116,28373,29642,30886,32234,33649,34963,36184,37325,38383,39343,40221,41056,41893,42721,43452,43965,44731,45927
Bosnia and Herzegovina,BIH,"Population ages 65 and above, total",SP.POP.65UP.TO,113759,116781,118678,121603,126769,133931,142292,150918,159053,167068,175568,183822,191294,198818,207136,216287,225866,235162,243349,249529,253066,253248,250591,247980,247773,250658,256244,263354,271375,280987,292594,306389,313184,315852,326858,345350,368157,391008,412686,434591,456772,478530,499476,519367,537253,552498,564214,571280,574301,575187,576085,578245,582495,589399,597956,607072,617216,628782,642718,657253,667878,670972,676318,689327
Belarus,BLR,"Population ages 65 and above, total",SP.POP.65UP.TO,593857,606831,614615,628281,646430,672767,700148,720178,746503,773621,801465,828067,854072,879189,903642,931919,956644,979945,1003427,1015115,1014785,1005493,990285,983639,982111,981454,985672,1001901,1026516,1053664,1084042,1116113,1153306,1194189,1232465,1270444,1299900,1322312,1339851,1343134,1349124,1365437,1383956,1400606,1414617,1420924,1420342,1410296,1383748,1352665,1322567,1300291,1297974,1307312,1328203,1354236,1376874,1399708,1420646,1448000,1475822,1494904,1523258,1565999
Belize,BLZ,"Population ages 65 and above, total",SP.POP.65UP.TO,3804,3920,4034,4161,4299,4435,4569,4707,4839,4959,5078,5195,5324,5466,5605,5746,5896,6047,6179,6293,6394,6497,6609,6718,6824,6936,7045,7147,7245,7356,7492,7654,7666,7530,7472,7581,7858,8253,8690,9122,9544,9897,10180,10468,10776,11103,11439,11771,12111,12474,12768,13005,13299,13649,14055,14525,15067,15654,16251,16881,17530,18180,18962,19903
Bermuda,BMU,"Population ages 65 and above, total",SP.POP.65UP.TO,2335,2377,2429,2489,2555,2632,2721,2821,2931,3054,3182,3304,3422,3539,3662,3792,3920,4040,4152,4252,4365,4489,4591,4678,4782,4906,5041,5135,5165,5178,5188,5267,5412,5565,5741,5940,6152,6312,6415,6510,6671,6885,7081,7280,7479,7674,7875,8060,8218,8362,8579,8887,9209,9555,9899,10222,10562,10914,11281,11688,12118,12571,13042,13530
Bolivia,BOL,"Population ages 65 and above, total",SP.POP.65UP.TO,189148,188793,188363,187989,187856,188072,188626,189520,190776,192386,194360,196698,199366,202390,205832,209705,214091,218950,224019,229033,233906,238622,243103,247490,252149,257251,262722,268600,275062,282310,290372,299276,309039,323844,343192,362283,381154,399703,417796,435366,452260,468225,479590,487035,494817,503047,511769,521188,531500,542801,555162,568316,581633,593690,604016,614573,626203,638353,651180,664846,668046,659034,661717,679608
Brazil,BRA,"Population ages 65 and above, total",SP.POP.65UP.TO,1829976,1908120,1993473,2083782,2177278,2274750,2376904,2482136,2590598,2703399,2820689,2943020,3071279,3205634,3345819,3491823,3642225,3795053,3949890,4106628,4263709,4419811,4576089,4735512,4900919,5074644,5259653,5459467,5675838,5906112,6145739,6393953,6653223,6923505,7202629,7488210,7779913,8077967,8377073,8672902,8967260,9269723,9586672,9923008,10284265,10665932,11068586,11495288,11944083,12416539,12913887,13439496,14007276,14628416,15313667,16046933,16803240,17587410,18400948,19237499,20028655,20768739,21560161,22451927
Barbados,BRB,"Population ages 65 and above, total",SP.POP.65UP.TO,10498,10599,10788,11036,11333,11691,12121,12598,13077,13499,13851,14156,14438,14725,15044,15409,15804,16222,16655,17092,17855,18982,20152,21329,22472,23566,24606,25590,26540,27445,27867,27934,28099,28274,28486,28726,28915,29106,29332,29542,29521,29514,29811,30054,30222,30430,30621,30867,31315,31957,32528,33003,33618,34345,35164,36050,36916,37868,38966,40200,41609,43062,44321,45438
Brunei Darussalam,BRN,"Population ages 65 and above, total",SP.POP.65UP.TO,3245,3330,3406,3484,3568,3648,3727,3813,3896,3975,3870,3662,3700,3905,4113,4312,4501,4675,4847,5006,5144,5280,5413,5554,5720,5895,6066,6216,6352,6499,6648,6797,6947,7112,7319,7577,7873,8176,8476,8787,9111,9440,9788,10166,10597,11087,11613,12145,12649,13091,13476,13914,14566,15426,16421,17551,18826,20247,21785,23411,25115,26756,28241,29883
Bhutan,BTN,"Population ages 65 and above, total",SP.POP.65UP.TO,5446,5584,5738,5902,6073,6255,6449,6654,6877,7112,7362,7631,7910,8204,8520,8856,9208,9581,9976,10399,10846,11309,11792,12308,12852,13427,14036,14678,15354,16066,16795,17423,17133,16822,17193,17397,17854,18636,19486,20764,22452,24193,25973,27773,29567,31056,32075,32938,33857,34843,35887,36974,38089,39245,40445,41721,43096,44028,44573,45339,46339,47509,48774,50083
