"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","44.74","45.662","46.701","46.655","47.741","46.858","48.577","48.865","49.09","49.172","42.587","25.996","49.591","49.828","49.16","50.292","50.647","51.197","51.254","51.464","51.85","52.169","52.54","53.011","53.54","53.897","54.415","54.926","55.027","55.089","55.989","54.154","57.635","57.927","58.617","59.467","59.492","61.427","63.917","66.228","65.779","66.135","66.612","66.824","67.187","67.299","67.241","66.714","67.051","67.403","68.638","68.809","69.554","69.565","69.986","70.491","71.09","71.788","72.567","72.806","71.968","72.381","73.698","",
"Bulgaria","BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.2475609756098","70.1956097560976","69.4919512195122","70.3092682926829","71.1212195121951","71.2939024390244","71.2234146341464","70.4139024390244","71.2251219512195","70.43","71.2563414634146","70.8736585365854","70.899512195122","71.3421951219512","71.2080487804878","71.049756097561","71.3948780487805","70.8160975609756","71.1846341463415","71.3082926829268","71.1575609756098","71.5719512195122","71.1860975609756","71.3863414634146","71.499756097561","71.2280487804878","71.7307317073171","71.5268292682927","71.6043902439024","71.7224390243903","71.6414634146342","71.5609756097561","71.4943902439024","71.3468292682927","71.2087804878049","71.0534146341463","70.8973170731707","70.3512195121951","71.0609756097561","71.4121951219512","71.6634146341463","71.7682926829268","71.8658536585366","72.0658536585366","72.5634146341463","72.5609756097561","72.6121951219512","72.6634146341463","72.9634146341463","73.4121951219512","73.5121951219512","74.1634146341463","74.3146341463415","74.8609756097561","74.4658536585366","74.6146341463415","74.8121951219512","74.8146341463415","74.9634146341464","75.1121951219512","73.6585365853659","71.4634146341463","74.3609756097561","",
"Bahrain","BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","50.33","52.112","53.697","55.285","56.778","58.228","59.656","61.002","62.31","63.475","64.45","65.607","66.373","67.183","67.864","68.466","69.118","69.604","69.978","70.456","70.826","71.183","71.47","71.668","72.012","72.106","72.269","72.369","72.444","72.619","72.668","72.764","72.953","73.375","73.517","73.799","74.355","74.535","74.641","74.98","75.496","75.908","76.088","76.337","76.56","76.931","77.156","77.634","78.084","78.461","78.748","78.89","79.081","79.246","79.328","79.405","79.557","79.689","79.857","80.019","79.174","78.76","79.246","",
"Bahamas, The","BHS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.896","63.185","63.433","63.732","64.05","64.362","64.659","64.948","65.328","65.646","65.926","66.151","66.413","66.488","67.001","67.221","67.84","67.88","67.562","67.366","67.521","67.746","68.436","69.161","69.351","69.257","69.285","68.924","69.215","69.598","70.133","69.616","70.668","70.656","70.851","70.763","70.71","71.054","71.456","71.771","72.041","72.11","72.232","72.402","72.478","72.765","72.855","72.678","72.667","72.579","72.731","72.564","72.753","73.024","73.366","73.104","73.537","73.632","73.806","71.205","72.677","71.598","74.358","",
"Bosnia and Herzegovina","BIH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.037","61.856","62.511","63.274","63.948","64.555","65.171","65.553","65.883","66.2","66.688","67.163","67.672","68.216","68.862","69.405","69.648","70.041","70.132","70.34","70.543","70.7","70.875","71.081","71.036","70.799","71.239","71.676","71.755","71.781","72.349","72.089","51.785","51.519","67.209","70.284","73.43","73.686","73.901","75.076","74.496","75.06","74.612","75.782","76.133","75.42","76.247","76.161","76.838","76.976","77.073","77.007","77.191","76.33","75.659","76.182","76.808","76.935","77.093","77.241","76.225","75.3","75.293","",
"Belarus","BLR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.2546097560976","69.7383902439024","69.4623170731708","69.7097804878049","70.619243902439","70.5974878048781","70.7689268292683","70.9297804878049","70.8127804878049","70.9780243902439","70.7444878048781","71.0117073170732","70.8493170731708","71.0006585365854","70.8546829268293","70.4570975609756","70.3968292682927","70.2890243902439","70.0817317073171","69.9336341463415","69.9277073170732","69.907512195122","70.0769024390244","69.7948536585366","69.5631951219512","70.9926829268293","71.549512195122","70.990243902439","71.3414634146341","71.4829268292683","70.8365853658537","70.3780487804878","70.0219512195122","68.9707317073171","68.7682926829268","68.4609756097561","68.5121951219512","68.4609756097561","68.4073170731707","67.9073170731707","68.9121951219512","68.5073170731707","68.0560975609756","68.5536585365854","68.9560975609756","68.8512195121951","69.4048780487805","70.2073170731707","70.4560975609756","70.4073170731707","70.4048780487805","70.5536585365854","71.9658536585366","72.4707317073171","72.9707317073171","73.6243902439025","73.8268292682927","74.1292682926829","74.1756097560976","74.2268292682927","72.4572195121951","72.3706829268293","73.1114634146342","",
"Belize","BLZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","58.163","53.356","59","59.569","60.057","60.629","60.963","61.5","62.192","62.77","63.468","64.204","64.453","64.622","65.03","65.942","66.268","66.518","66.885","67.399","67.756","68.068","67.955","68.14","68.64","69.462","69.704","70.198","70.781","70.724","70.744","70.248","69.979","69.988","70.316","69.887","69.806","69.212","68.599","68.773","68.564","68.357","68.752","68.909","69.227","69.376","70.093","70.655","71.151","71.819","72.272","72.651","73.245","73.666","73.311","73.187","73.399","73.562","73.703","73.931","72.854","70.47","70.962","",
"Bermuda","BMU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","67.162","64.111","63.837","63.778","67.641","67.848","63.426","68.358","68.535","68.211","69.478","68.502","69.961","71.888","72.394","72.573","71.862","72.083","72.854","73.299","73.454","73.684","73.746","74.116","74.526","73.337","73.428","73.996","74.91","74.269","74.5","74.886","73.8","74.487","73.608","76.137","78.225","77.995","79.949","79.053","78.858","79.871","80.631","79.345","81.12","77.927","77.585","79.361","78.623","79.996","80.499","81.403","81.272","79.992","79.518","80.918","80.608","82.351","80.825","81.033","81.136","79.28","81.571","",
"Bolivia","BOL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","43.1","43.4","43.791","44.077","44.366","44.712","45.118","45.419","45.796","46.215","46.597","47.061","47.497","47.975","48.446","48.826","49.264","49.734","50.181","50.665","51.181","51.619","52.053","52.405","52.971","53.446","53.929","54.492","55.156","55.772","56.422","57.097","57.629","58.418","58.989","59.534","60.084","60.752","61.332","61.871","62.346","62.843","63.306","63.635","64.004","64.386","64.779","65.027","65.446","65.88","66.162","66.534","66.705","67.021","67.163","67.318","67.628","67.701","67.748","67.841","64.467","63.63","64.928","",
"Brazil","BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.66","53.183","53.71","54.209","54.648","55.084","55.473","55.868","56.31","56.748","57.171","57.586","58.032","58.472","58.881","59.353","59.792","60.24","60.72","61.253","61.781","62.333","62.856","63.331","63.773","64.198","64.64","65.08","65.454","65.868","65.985","66.31","66.708","67.109","67.568","67.919","68.409","68.813","69.189","69.524","69.737","70.195","70.41","70.72","71.131","71.753","72.037","72.365","72.715","72.948","73.182","73.343","73.552","73.918","74.306","74.332","74.442","74.827","75.109","75.338","74.009","72.75","73.425","",
