Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,26950420,27711544,28518261,29352670,30213467,31101431,32012189,32959418,33936209,34908747,35832997,36329727,36891348,37968306,39063123,40092000,41098594,42109012,43123376,44148270,45190244,46345130,47625418,48910618,50170776,51406265,52610279,53783431,54921371,56037234,57142542,58232652,59324411,60408992,61506885,62624821,63738280,64884483,66073396,67292204,68477112,69527199,70465423,71345034,72159664,72902576,73574026,74183979,74737613,75243836,75714374,76236811,76826473,77407636,77971658,78528055,79091607,79723871,80431108,81162190,81878880,82572341,83399395,84357711
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3928360,3966913,4002357,4035494,4069174,4101183,4130087,4156053,4185420,4217159,4244351,4267032,4285860,4307132,4334862,4354773,4372378,4393386,4395998,4399660,4415127,4427407,4437985,4445840,4452568,4444586,4435104,4437283,4438197,4381856,4297812,4249950,4198615,4159633,4140689,4117194,4091461,4062714,4031474,4005012,3982113,3900494,3815034,3784300,3754879,3725725,3696739,3669333,3643766,3620656,3597346,3574951,3555090,3535105,3513543,3489630,3463595,3436199,3409056,3382681,3359664,3330497,3216090,3120023
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,88130,91692,95293,98940,102645,106133,109340,112501,116350,120628,124498,130011,138061,146968,156128,165522,175121,184894,194801,204809,214881,224053,232133,240218,248664,257485,266667,276177,285962,295920,305909,298576,306315,314355,322591,331018,339659,348530,357640,367007,376640,392159,424988,461123,500330,543026,589672,640782,682850,731626,763640,744580,757998,783298,812848,847287,889896,946410,944796,927089,917338,932714,944896,978986
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,56791,60056,63556,67220,70691,74037,77652,81524,85629,89758,93440,96516,99161,101516,103769,106033,108355,110717,113053,115307,117399,119338,121243,123178,125141,127142,129176,131228,133329,135525,137754,139998,142435,144979,147394,149688,151898,154023,156060,157988,159881,161677,163377,165143,166958,168756,170685,172780,174802,176774,178700,180440,181988,183430,184802,186028,187079,187983,188788,189495,189876,189918,190243,190909
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1551526,1580407,1610606,1639272,1666254,1691927,1716470,1739648,1760860,1779771,1796262,1814764,1837435,1860832,1884040,1907093,1929720,1951597,1972527,1992594,2012272,2032014,2051558,2070731,2089387,2107137,2123474,2138012,2150555,2160776,2168609,2174066,2055032,1875654,1776700,1768506,1847562,1918819,1954290,1974843,1989795,1999874,2004285,1999669,1980965,1958617,1941745,1916526,1883405,1849480,1815435,1780886,1745487,1716448,1694274,1672168,1650649,1630145,1610395,1590487,1568697,1543349,1524174,1514667
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,3668689,3715355,3764780,3816055,3867220,3916954,3966755,4017666,4068067,4116432,4160289,4200453,4239566,4276423,4309335,4336536,4360685,4387966,4419188,4450420,4482359,4517372,4551706,4586152,4620567,4653471,4688179,4723379,4743369,4764837,4778241,4783553,4799050,4814559,4797285,4770321,4757275,4740985,4722148,4699507,4673786,4647012,4613786,4576905,4541339,4505518,4473220,4449406,4431895,4419943,4409392,4397384,4389605,4388786,4393235,4401973,4408990,4406130,4398597,4391413,4372320,4334726,4299910,4277430
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,45202,46422,47697,49090,50597,52193,53864,55601,57378,59105,60523,61625,62632,63595,64545,65718,67138,68602,70090,71651,73414,75330,77249,79152,81048,82945,84840,86747,88679,90659,92663,94692,96703,98667,100774,103312,106416,110012,113898,117863,121747,125491,129195,132955,136776,140659,144587,148554,152543,156528,160364,164071,167797,171561,175354,179203,183673,188210,191765,194425,196764,198902,202913,207487
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,21585,22069,22687,23291,23874,24450,25043,25601,26117,26643,27098,27331,27405,27454,27487,27504,27461,27377,27291,27201,27204,27343,27512,27678,27848,28010,28153,28312,28500,28689,28884,29072,29256,29437,29601,29739,29855,30020,30250,30494,30694,30828,30947,31050,31108,31159,31192,31269,31433,31603,31688,31652,31570,31520,31512,31498,31485,31495,31543,31604,31671,31732,31733,31680
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,1823333,1861140,1900199,1940658,1982470,2025663,2070352,2116725,2164849,2214527,2265518,2317843,2371472,2426507,2483153,2541282,2601445,2663567,2726948,2791355,2856512,2922296,2988521,3055250,3122838,3191200,3260602,3331699,3404600,3478867,3554161,3630416,3706602,3785316,3866779,3947764,4028588,4108924,4188785,4268890,4348722,4427863,4504099,4578603,4654692,4732198,4811974,4893397,4975069,5057042,5139321,5221815,5304439,5386941,5469087,5550936,5632455,5713458,5793932,5873939,5940065,5989944,6053750,6135731
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,36288091,37384876,38502703,39639715,40788924,41939794,43086541,44225494,45358477,46496107,47646494,48813912,50003560,51217065,52448501,53701639,54988043,56309647,57663892,59045469,60450776,61871382,63294817,64722063,66150370,67572311,68975689,70352243,71703533,73029307,74332633,75601836,76851449,78081674,79285303,80487831,81688609,82884670,84099364,85304528,86454826,87555739,88614174,89629542,90610756,91571959,92509047,93412519,94272742,95081284,95844360,96587069,97333272,98085091,98839567,99587454,100309738,101001719,101654523,102280732,102844473,103236465,103548935,103913061
