Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Population ages 15-64, total",SP.POP.1564.TO,28500433,29220117,29960371,30679260,31375394,32116300,32907169,33736570,34603813,35454375,36282453,36877921,37488437,38455948,39467279,40451738,41476628,42505905,43529660,44545797,45561132,46693766,47996493,49366887,50760391,52175993,53631399,55170306,56770121,58391801,60042404,61731934,63477629,65277917,67162874,69141507,71187346,73292338,75422553,77567489,79671645,81514615,83121544,84660399,86151903,87605093,88987587,90285655,91513536,92729412,93970006,95340178,96894688,98536133,100208410,101869851,103501312,104877348,105958585,106964718,107938077,108897252,110260679,111999786
Bulgaria,BGR,"Population ages 15-64, total",SP.POP.1564.TO,5229098,5287610,5347985,5408735,5474571,5532518,5579403,5624892,5668521,5706188,5736707,5762246,5783020,5803645,5825535,5831195,5836657,5848162,5850014,5849010,5849841,5873467,5920399,5972085,6009077,6005596,5990019,5983804,5979226,5905862,5798745,5743572,5689992,5653538,5645094,5632322,5616635,5597688,5574381,5552319,5534664,5443948,5347912,5327544,5308571,5284146,5251550,5211765,5165953,5116032,5058285,4994331,4930868,4865836,4798112,4729066,4661526,4596453,4533116,4473802,4429550,4388929,4236014,4101928
Bahrain,BHR,"Population ages 15-64, total",SP.POP.1564.TO,90380,93860,97222,100386,103298,105821,108055,110297,112354,114360,116751,121821,130574,140908,151948,163549,175510,187666,199926,212231,224527,235767,245865,256040,266536,277254,288101,299010,309862,320536,331086,323152,332429,343132,354644,366586,378964,391947,405475,419357,433546,455266,498867,547927,601212,658733,721060,788901,845608,911037,951725,924798,940869,974792,1012792,1053811,1101597,1164995,1163156,1140935,1131043,1162042,1180449,1220172
"Bahamas, The",BHS,"Population ages 15-64, total",SP.POP.1564.TO,64177,67705,71415,75269,78967,82603,86550,90826,95434,100133,104351,107918,111057,113986,116996,120278,123906,127847,132007,136293,140601,144811,148971,153206,157482,161794,166070,170176,174147,178042,181692,185131,188502,191745,194859,197847,200748,203586,206385,209156,212086,214981,217831,221001,224383,227747,231431,235792,240228,244248,248160,251927,255263,258356,261283,264020,266626,269102,271443,273612,275270,276548,278263,280302
Bosnia and Herzegovina,BIH,"Population ages 15-64, total",SP.POP.1564.TO,1915276,1942660,1972508,2004799,2037571,2070358,2104647,2141819,2182801,2226468,2270267,2314700,2360555,2406870,2453621,2500657,2547342,2593251,2638644,2684317,2731014,2781358,2833200,2880530,2921577,2956516,2986187,3011542,3033093,3050465,3062723,3068742,2874562,2594360,2446943,2448282,2597157,2728202,2796764,2841171,2876641,2902732,2917829,2915699,2887578,2853210,2831382,2797596,2748916,2696294,2641738,2586871,2532542,2487908,2450493,2409056,2365556,2321170,2276239,2230475,2183969,2136458,2099794,2074682
Belarus,BLR,"Population ages 15-64, total",SP.POP.1564.TO,5075366,5083116,5128279,5185290,5251434,5313026,5371890,5438170,5497825,5563719,5648146,5744259,5839459,5933566,6020357,6090172,6153490,6218547,6286665,6352162,6416482,6491926,6566109,6622435,6666711,6708470,6749418,6782275,6773552,6765244,6754351,6735310,6732229,6732789,6719685,6700380,6695994,6697884,6717394,6752692,6772214,6781326,6778042,6767214,6756011,6742088,6727430,6722903,6734275,6747512,6753098,6741618,6706394,6664685,6620429,6577083,6533095,6478331,6425895,6372902,6305149,6219444,6139746,6081792
Belize,BLZ,"Population ages 15-64, total",SP.POP.1564.TO,46499,47182,47843,48562,49351,50222,51186,52259,53450,54764,56251,57802,59271,60683,62082,63733,65670,67685,69727,71781,73975,76178,78221,80155,81922,83620,85471,87525,89720,92012,94393,96918,99643,102535,105710,109442,113878,118939,124349,129812,135170,140431,145732,151182,156791,162534,168427,174477,180656,186976,193658,200593,207470,214367,221324,228363,236209,244024,250318,255451,260358,265219,272573,280235
Bermuda,BMU,"Population ages 15-64, total",SP.POP.1564.TO,25726,26328,27156,27975,28787,29624,30525,31390,32147,32855,33541,34018,34281,34542,34814,35098,35510,36006,36434,36797,37103,37461,37872,38228,38556,38866,39132,39549,40112,40616,41059,41309,41410,41513,41596,41650,41687,41928,42370,42811,43080,43152,43210,43264,43278,43324,43366,43620,44092,44483,44545,44284,43977,43765,43660,43529,43331,43177,43124,43047,42935,42812,42560,42190
Bolivia,BOL,"Population ages 15-64, total",SP.POP.1564.TO,2011800,2058884,2107163,2154443,2199845,2246168,2294654,2344435,2395762,2448801,2503624,2560284,2618790,2679299,2741804,2806323,2872780,2940996,3011048,3082860,3155984,3230335,3306247,3383966,3463154,3543308,3624708,3707620,3792272,3878585,3966055,4055020,4145535,4235469,4324443,4414011,4504346,4595614,4688349,4783299,4880705,4982127,5090632,5206741,5328768,5455596,5586802,5720169,5853589,5987066,6120745,6255273,6390348,6527026,6666920,6807096,6945218,7081896,7217995,7353733,7482810,7602848,7732083,7873868
Brazil,BRA,"Population ages 15-64, total",SP.POP.1564.TO,38572740,39620204,40715628,41880713,43137111,44464728,45837613,47264850,48747419,50286333,51876563,53515603,55207726,56953570,58750807,60594717,62484608,64420727,66394475,68385167,70373258,72340646,74270056,76176463,78088528,80023927,81975688,83946984,85953108,87986094,90065768,92189550,94381258,96620245,98871035,101167654,103501053,105857140,108263374,110681925,113048777,115366551,117627454,119816044,121919930,123940957,125888603,127760524,129563623,131286298,132928646,134529753,136111838,137664739,139123483,140448837,141674834,142778508,143697195,144528231,145321093,145885274,146259149,146595887
